SMILES,MW,LogP,NumHDonors,NumHAcceptors,TPSA,Solubility
OCOCCC,90.122,0.3628,1,2,29.46,-2.1035498457845785
CONOOCNCOOOCC,198.17499999999998,-0.5950999999999997,2,8,79.44000000000001,-1.4405768751116301
CCCNCN,88.15400000000001,-0.0978,2,2,38.05,-1.9022883631287444
OCNCONC,106.125,-1.3656999999999995,3,4,53.519999999999996,-1.5068229663438313
NCOCONNOCO,153.138,-2.2160999999999995,4,7,98.00000000000001,-1.4280133307651428
CCOONON,108.09700000000001,-0.7356,2,5,65.74,-1.551805919424818
CCONCOON,122.12400000000001,-0.6930999999999998,2,5,65.74,-2.963253980392765
OONONNCCONN,169.14100000000002,-2.683699999999999,6,9,122.06,-0.9879311401012625
NNCOOO,94.07,-1.1715999999999998,3,5,76.74000000000001,-2.9107873176559993
OCCONCC,105.137,-0.4802000000000002,2,3,41.49,-1.4615096849309643
ONCNOCNNONOO,185.14000000000001,-2.663599999999999,7,10,128.3,-1.206973138664428
NOONNONOCCONCO,215.16599999999997,-3.3436999999999997,6,11,140.52,-1.695479345682339
CNOOCONOOOOCO,202.11899999999997,-1.7760999999999998,3,10,108.90000000000002,-1.606946271545327
COOCOOOONNCNCO,215.162,-2.1605999999999983,4,10,111.70000000000002,-1.0073251104048504
OCNNNNOCON,153.142,-3.180999999999999,6,8,112.83,0.571980316647152
NNNNNCNN,121.14800000000001,-3.6157000000000004,7,7,112.19,-2.2526035254291945
NONOOONOC,141.083,-1.7578999999999998,3,8,96.23000000000002,-1.0049201608076768
OOOONNOOCCONC,201.135,-1.6373999999999993,4,10,111.70000000000002,-3.331834607127564
COOOCNCOC,137.13500000000002,-0.3530000000000002,1,5,48.95,-3.0098051259644367
CCCCN,73.139,0.7452000000000001,1,1,26.02,-2.4789226899744974
CONNCNO,107.113,-1.4217,4,5,65.55,-1.393127763196699
COOCON,93.08200000000001,-0.5877999999999999,1,4,53.71,-1.3827633303355547
ONONCNOCO,139.11100000000002,-2.1700999999999993,5,7,95.01,-0.6704032425590756
CCONOO,93.082,-0.06790000000000007,2,4,50.72,-2.7500755832537647
CNOONOONCNOO,186.124,-2.1068999999999996,5,10,114.50000000000001,-1.4398520873562677
CONONNCOOCCCO,197.19099999999997,-1.6336999999999993,4,8,93.24000000000001,-2.1352662958576962
OOONNNN,110.07300000000001,-2.2049000000000003,5,7,100.8,-2.213036158020519
OCOOCONOOONCN,201.135,-2.4212999999999987,4,10,125.69000000000001,-2.4472225744868186
CCNOCOCCCN,148.206,-0.14959999999999896,2,4,56.51,-3.0670665664173766
CNNNCCNN,119.17200000000003,-2.321699999999999,5,5,74.14,-0.7814046345097856
NCCNCOCNNNCC,177.252,-1.9149999999999985,5,6,83.37,-1.0451263090679135
COOOCCNCCCCC,177.24399999999997,1.2757999999999994,1,4,39.72,-0.7811223261842855
CCNOO,77.083,0.0004999999999999449,2,3,41.489999999999995,-0.46127848316802256
CONONNO,109.085,-1.5325999999999995,4,6,74.78,-2.20185303533428
CNCCNNNO,120.15599999999998,-1.8061999999999987,5,5,68.35,-2.364078477847941
NOONNNNONCCNN,198.18699999999998,-4.2738,8,11,151.91000000000003,-1.361892620329187
OOOOOOONCC,157.07799999999997,-0.34150000000000014,2,8,87.64000000000001,-0.7017820882286676
COONCCCOOCNCCO,210.23,-1.053299999999999,3,7,81.21000000000001,-2.1147779502936763
NOOOCOONNCO,171.10899999999998,-2.395399999999999,4,9,116.46000000000002,-2.793725095005893
ONCONOCONCNON,199.167,-2.793399999999999,6,10,131.29000000000002,-0.2754042141546542
COOOCNCNCN,151.166,-1.4935999999999983,3,6,77.77,-1.484959680685673
NNOOCNNCOC,152.154,-2.0314999999999985,4,7,89.80000000000001,-1.0703396742306504
NNCCCCCCCCNC,173.304,1.0096999999999994,3,3,50.08,-1.0746255339752828
ONCCO,77.083,-1.0425,3,3,52.489999999999995,-2.427528869974797
OOCCOCCN,121.13600000000001,-0.5487000000000002,2,4,64.71,-0.9338954363680319
COOCNNOOCNN,168.153,-2.099899999999999,4,8,99.03,-1.8531594285323187
CNNCC,74.12700000000001,-0.2697000000000003,2,2,24.06,-2.384717666352506
OCNNC,76.099,-1.3398,3,3,44.29,-0.264438327404368
NCNOOCCOCNNC,180.20800000000003,-1.946499999999998,4,7,89.80000000000001,-1.6004028428959158
CCNCON,90.126,-0.5563,2,3,47.28,-4.043569648811797
CCOOC,76.095,0.5843,0,2,18.46,-1.2224080393339558
CCOOCNCNO,136.151,-0.5620999999999998,3,5,62.75,-3.238715520814384
OONCCCNOONOO,185.13600000000002,-1.267299999999999,5,9,113.47000000000001,-2.9659063870365445
CNNCCNCN,118.18400000000003,-1.7837999999999985,4,4,62.11,-1.2006628656002232
CNCNNOCNNON,166.185,-2.953899999999999,6,8,104.63,-2.335967798666611
ONNOCOC,108.09700000000001,-0.9947000000000001,3,5,62.75,-1.553437014601374
NOCNOOCCNOOC,183.164,-1.6303999999999987,3,8,96.23000000000002,-3.422733470357873
OCNNCCNNN,135.171,-3.0016999999999987,6,6,94.36999999999999,-3.964074020347054
NONCONN,108.10100000000001,-2.2662999999999993,4,6,94.56,-2.6170890131299074
CCOOONON,124.096,-0.804,2,6,74.97,-3.236682614780774
CNCOOCONOOOOCN,215.16199999999998,-1.767199999999998,3,10,114.69000000000001,-3.325789238942443
ONCCC,75.111,0.37520000000000003,2,2,32.26,-3.806693510904478
COCOCNCNOONN,182.18,-2.0573999999999986,4,8,99.03,-0.5577718555942595
CONNCNCOCCN,164.20899999999997,-1.878099999999998,4,6,80.57,-2.2918753224968826
NOOCONC,108.097,-1.0832,2,5,65.74000000000001,-2.605907407754513
NONCOOONO,141.083,-1.8876,4,8,107.23000000000002,-1.2691810517056283
OOONNCOCO,140.095,-1.6593,4,7,92.21000000000001,-0.5819656706551186
NOCNCCN,105.14100000000002,-1.6174999999999988,3,4,73.3,-2.7697608358117853
CCONOOOOOCOC,185.13199999999998,-0.21060000000000012,1,8,76.64000000000001,-2.541255953216595
NCNCOCCNCNOCCN,207.27799999999996,-2.506699999999997,5,7,106.59,-1.5861159369564448
ONOOON,96.04200000000002,-1.3662999999999998,3,6,85.97,-2.3172623863612585
ONONNNO,110.073,-2.2002,6,7,97.81,-2.016880429068193
NNCNOO,93.08599999999998,-1.5986000000000002,4,5,79.54,0.5425755212879104
CNCOCCOONCOCNN,210.23399999999998,-1.9723999999999977,4,8,99.03,-2.862880752649764
NOCNOCCCC,134.179,0.15549999999999975,2,4,56.510000000000005,-1.490336676900205
ONOONCCNONO,170.12500000000003,-2.252,6,9,116.27000000000001,-2.0967456597355496
NCOOOOON,126.068,-1.4807,2,7,98.19000000000001,-1.2560966844677746
CNNCNOCCCONNC,193.251,-1.7651999999999979,5,7,78.61,-3.2951688687979477
NCNCOONOCOCC,181.19199999999995,-1.1718999999999997,3,7,87.00000000000001,-2.7801446706396318
COONNCCCNONN,181.19600000000003,-2.1367999999999983,5,8,101.83,-3.6090387783782383
NCNOONOCOCNONO,215.16600000000003,-2.861799999999999,6,11,140.52,-1.005956645964316
ONONCOO,110.069,-1.1515,4,6,82.98,0.7567315268515458
CCCCOOCCCNC,161.245,1.3442,1,3,30.490000000000002,-2.0680976831357643
CCCONCCCCNN,161.249,0.16110000000000063,3,4,59.31,-1.7206641024358933
OCCOCC,90.122,0.01519999999999988,1,2,29.46,-2.3183278701408154
NCNNN,76.10300000000001,-2.1295,4,4,76.1,-2.5862771140976744
COCONNCCNNN,165.19700000000003,-2.4159999999999986,5,7,92.6,-1.1545174759476762
OCOOOOO,112.03699999999999,-0.7794000000000001,2,6,77.38000000000001,-1.5366651891121066
OCNNOCOOO,140.095,-1.6592999999999993,4,7,92.21000000000001,-2.7810345246358326
OCOOOO,96.038,-0.7110000000000001,2,5,68.15,-2.8689004322017917
COCNONON,123.11200000000001,-1.578599999999999,3,6,77.77,-3.9834107324402375
CNONCOO,108.097,-0.9108999999999996,3,5,62.75,-0.44450925269209307
NCOOCCCNCNNC,178.23600000000002,-1.4879999999999975,4,6,80.57000000000001,-0.9612120800855046
OONNOCCO,124.09599999999999,-1.5909,4,6,82.98,-2.656713982305421
NNCNNCCC,118.184,-1.0886000000000002,4,4,62.11,-0.6633310127029124
CNNON,77.08700000000002,-1.4842999999999993,3,4,59.31,-2.240654630336005
ONOCNOCONCCOCC,211.21799999999996,-1.1092999999999993,4,8,93.24000000000001,-1.4034402209752144
CCONONNONN,153.142,-2.221799999999999,5,8,101.83,-1.4725150938690947
NONNOONNCCNNO,199.17100000000002,-3.7582999999999993,8,11,146.12,-2.0606378849965235
CNCONNNCNCNN,179.228,-3.338399999999999,7,8,107.42999999999999,-0.29869786056600356
CNCCNCNC,117.19599999999998,-1.0276999999999987,3,3,36.089999999999996,-1.2665056890348758
ONCCOCOCOCOO,183.16,-0.6228999999999998,3,7,89.41000000000001,0.35336152907389184
NNCOCNCNOOOOC,198.179,-2.1257999999999972,4,9,108.26000000000002,-2.097953584044942
ONNOCNCCCN,150.18200000000002,-1.7026999999999983,5,6,91.57,-1.081402247879135
CONCNCN,105.141,-1.3992999999999989,3,4,59.31,-1.9245212854316547
ONNCCNNONONNC,197.19900000000004,-3.429199999999998,8,10,122.9,-3.026410268932648
OOOCNNO,110.06899999999999,-1.1515,4,6,82.98,-3.506428996332298
OCNNO,78.071,-1.5804,4,4,64.52,-2.827349744541251
OOCONOC,109.08099999999999,-0.4839,2,5,59.95,-5.312682009434094
ONCNNCNONOCNCC,210.23799999999997,-2.501199999999997,7,9,110.87,-1.013112189647722
NCOONNCOCCNNC,195.223,-2.4418999999999977,5,8,101.83000000000001,-2.5941084646420913
OCOONCOO,125.07999999999998,-1.1638999999999997,3,6,80.18,-1.8242297357170332
NNOCONONOCOC,184.152,-2.1682999999999986,4,9,108.26000000000002,-1.3184683064255793
ONCNNO,93.08599999999998,-1.5938999999999997,5,5,76.55,-4.317543177164732
CCCCCOCCCOCCC,188.31099999999995,3.009900000000002,0,2,18.46,-0.8125544146724168
OONCOOCCCOC,167.16099999999997,-0.07720000000000016,2,6,69.18,-1.491394642064934
ONONOOCN,125.08400000000002,-1.8191999999999995,4,7,98.0,-2.3845721004833687
NOOOOOCOOCOCCN,216.14599999999993,-1.5583999999999982,2,10,125.88000000000002,-1.8411141350859355
NNOOCCOO,124.09599999999999,-1.1974999999999998,3,6,85.97000000000001,-1.8675006549909436
ONNNCNCCNONOC,196.211,-2.8912999999999975,7,9,110.87,-1.2507086844294104
ONOCOCOCOOOCOC,215.158,-0.7138000000000002,2,9,96.87000000000002,-1.9752794195494314
OOCNCNN,107.11300000000001,-1.556099999999999,4,5,79.54,-2.5583013624378435
OCNNOOCNCONC,182.18,-2.4507999999999974,5,8,96.04,-1.0778016088330393
OCNNOOCOCCNC,181.19199999999998,-1.912899999999998,4,7,84.01,-1.779477351030738
OCOCON,93.08200000000001,-1.1994000000000002,2,4,64.71,-1.9906116549499344
NOCNNC,91.11399999999999,-1.4417999999999995,3,4,59.31,-3.0824484519030824
CCOCNCNN,119.168,-1.0091999999999985,3,4,59.31,-1.9874372839184051
CNONCCNONN,151.17000000000002,-2.458499999999999,5,7,92.6,-2.971387309457225
NNNNCNO,107.117,-2.6048,6,6,94.37,-1.7337523003358144
OOCCCNN,106.12500000000001,-0.6705999999999999,3,4,67.51,-1.785723959648256
OCCOO,78.067,-0.5317000000000001,2,3,49.69,-2.0155958149249256
NCNCONO,107.11299999999999,-1.639899999999999,4,5,79.54,-1.251376423771343
NNCNNOONNNCCNO,212.214,-4.142799999999999,9,11,148.92,-3.8421946791252157
ONCCNN,91.114,-1.5714999999999995,4,4,70.31,-3.2476353063756838
NOOONOO,112.04099999999998,-1.3508999999999998,3,7,95.20000000000002,-1.837929026685639
NCCOOCNCNC,149.194,-1.382699999999999,3,5,68.54,-2.60270404977465
NNCNCOCONNCC,179.224,-2.0258999999999983,5,7,92.60000000000001,-2.4111533513852046
COCCONOCCN,150.178,-0.9556999999999984,2,5,65.74,-2.535896923004237
NCOCCNO,106.125,-1.1019999999999994,3,4,67.51,-1.185943161996181
OCCCO,76.095,-0.6389,2,2,40.46,-3.677413325332081
OCNCC,75.111,-0.45430000000000015,2,2,32.26,-2.711758909100642
NONONONCNC,153.142,-2.569399999999999,5,8,101.83000000000001,-3.975768149442392
NCOCOOOCN,138.123,-1.3272999999999997,2,6,88.96000000000001,-0.8417510200669811
CNCNCNNNOCOO,181.196,-2.3120999999999974,6,8,98.84,-1.4239939295672865
NOOONONNCON,171.11299999999997,-2.9669,5,10,134.28000000000003,-2.983768795672068
COCNNCNCCNNC,177.252,-2.0443999999999978,5,6,69.38,-0.47048335159880117
NNCNOOOCOCCN,182.17999999999995,-2.275599999999999,4,8,113.02000000000001,0.6234859925196732
NCCNNCNCOCC,162.23699999999997,-1.4195999999999984,4,5,71.34,-1.2157510125855127
NCCNN,75.115,-1.5915999999999997,3,3,64.07,-1.676450751795882
ONNOCNCONCCN,181.196,-2.6140999999999988,6,8,112.83,-1.5144517818244956
NCNCOOC,106.12499999999999,-0.9722999999999999,2,4,56.510000000000005,-2.110835822923772
COONNCONNOOOOC,216.14999999999998,-2.086899999999999,4,11,112.73000000000002,-3.2662253214107437
ONOOOOOC,127.05199999999999,-0.7470000000000001,2,7,78.41000000000001,-0.022707606455743656
CCOOCCNONON,167.165,-1.2143999999999977,3,7,87.0,-1.8175872414227596
NNCNNO,92.10199999999999,-2.1094,5,5,82.34,-0.9856582310476609
CCNCOC,89.13799999999999,0.19980000000000003,1,2,21.259999999999998,-0.4230187104380412
OCOOCNCOCNNO,183.16400000000004,-2.1534999999999984,5,8,104.24000000000001,-0.59270135335092
OCNNOOONCCNC,182.17999999999998,-2.4507999999999974,5,8,96.04,-1.9013572278193458
NOCNCCOCN,135.167,-1.643399999999998,3,5,82.53,-3.24387572372026
ONNNO,79.059,-1.6364,5,5,76.55,-3.096812054751064
NONNNCNNCCCO,180.21199999999996,-3.1753999999999984,7,8,115.63000000000001,-1.3634675477258746
NOCCON,92.09800000000001,-1.2330000000000003,2,4,70.5,-2.8415588316009006
NOONNOONCNCCOO,215.16599999999997,-2.7779999999999987,6,11,140.52,-2.8645079927706476
ONCCCOO,107.109,-0.15510000000000007,3,4,61.72,-1.8448941728403392
ONCNCN,91.11400000000002,-1.5714999999999997,4,4,70.31,-1.062575895629947
OCOCCNNOOOOONN,216.15,-2.9166999999999987,5,11,137.72000000000003,-2.2737090184904742
COCCNNNNOON,167.16899999999998,-2.5268999999999986,5,8,101.83,-2.5196771632021098
NNCNONOOO,140.099,-2.2308000000000003,5,8,110.03000000000002,-2.280089463808903
NONONNNNOO,156.102,-3.2641,7,10,134.09,-2.577258559720658
OCNNNCCNCN,149.19799999999998,-2.9591999999999983,6,6,94.36999999999999,-3.8860303034596546
OCNCONNCOCCN,180.20799999999997,-2.558099999999998,5,7,100.8,-1.7144009829391376
NCOOO,79.05499999999999,-0.6762000000000001,2,4,64.71000000000001,-0.9135218374322767
CNNNOOCCCCOCNC,208.26199999999997,-0.948099999999999,4,7,75.81,0.05383007970890752
NNCNNO,92.10199999999999,-2.1094,5,5,82.34,-1.6802054113059854
ONOCON,94.07000000000002,-1.2554000000000003,3,5,76.74,-1.1206849084614066
NCCCO,75.11099999999999,-0.6724999999999999,2,2,46.25,-2.155993182040536
ONCNNCOCN,136.15499999999997,-2.0927999999999987,5,6,91.57,-2.4954078927977683
OCCOCOC,106.121,-0.40080000000000005,1,3,38.69,-2.2945844542580063
CNCOO,77.083,-0.3471,2,3,41.489999999999995,-2.865446806148624
NCCNOOOCON,153.13799999999998,-1.8226999999999993,3,7,100.99000000000001,-4.104881641029163
NOCNNOO,109.08499999999998,-1.6669999999999998,4,6,88.77000000000001,-2.109972059639218
NCCNNCOCCNC,162.237,-1.7671999999999985,4,5,71.34,-1.1843826994793418
OOCCNN,92.098,-1.0606999999999995,3,4,67.51,0.4407584709711121
OOOCOO,96.038,-0.14530000000000004,2,5,68.15,-1.8670119173386945
NCNONN,92.102,-2.1978999999999997,4,5,85.33,-0.4566545811437217
ONCCONNONCOOC,198.17899999999997,-2.0372999999999983,5,9,105.27000000000001,-0.49371377695223595
CCCNCCOCNNONOC,208.26200000000003,-0.9480999999999975,4,7,75.81,-2.513441712860102
NNCOCNONCCO,166.18099999999998,-2.600599999999998,5,7,100.80000000000001,-3.067905428335404
NOCOCOCOCCNNOC,211.218,-1.5453999999999979,3,8,96.23000000000002,-2.1286173768784717
CONOCNNCCOOCC,195.21899999999997,-0.9111999999999993,3,7,73.01,-3.3697159710804305
OCCOOC,92.094,-0.4433,1,3,38.69,-1.6139079804804306
NNOCNCCONCC,164.20899999999997,-1.5304999999999982,4,6,80.57000000000001,-4.149291907304174
OCCOCCOOCON,167.16099999999997,-1.2086999999999992,2,6,83.17,-2.3912116496021536
NCOCNNN,106.129,-2.1553999999999993,4,5,85.33,-1.7135958859462583
ONONNNNCO,139.115,-3.1349999999999993,7,8,109.84,-1.8443919013308254
OOOONOCC,125.08,-0.2047000000000001,2,6,69.18,-3.730257556291158
CNNNNOOONOCNON,215.17,-3.696999999999999,7,12,144.35000000000002,-2.6502537937475066
OOCCCNCO,121.136,-0.5945,3,4,61.72,-0.332338580771675
NOCNNCN,106.129,-2.1553999999999993,4,5,85.33,-1.0509373545663863
OCNNONCNNNOC,182.18400000000003,-3.4156999999999975,7,9,110.87,-1.6052949075265501
OCONONNO,125.08399999999999,-2.2126,5,7,95.01,-2.2876232690858744
CCCNCNNN,118.18400000000001,-1.088599999999999,4,4,62.11,-2.674841668858456
OCCNCNNNNNO,166.18500000000003,-3.4769999999999985,8,8,112.64,-2.911957429425538
ONOOCONNC,139.11100000000002,-1.5585000000000002,4,7,84.01,-0.5848024504105227
NOOOOCOCOCO,171.105,-1.4304999999999999,2,8,101.63000000000002,-1.6957735390551196
CNCOOONNC,137.139,-1.3178999999999996,3,6,63.78,-1.7911699361109499
NOCNNCNOCCCOOC,210.23399999999995,-1.6247999999999978,4,8,99.03000000000002,-1.8081325106874266
OCNONCOONNOCC,198.179,-2.171599999999998,5,9,105.27000000000001,-1.4671157783431912
NCNCC,74.127,-0.4879,2,2,38.05,-2.516059259620431
OCNONCOCCOCNC,195.219,-1.8703999999999978,4,7,84.01,-0.6707155370099478
COONONO,110.06899999999999,-1.1056000000000001,3,6,71.98,-2.2045603815399355
NCNCCCCNNC,146.238,-1.003599999999999,4,4,62.11,-1.1317177232413
NCCCOOCO,121.13599999999998,-0.7667999999999999,2,4,64.71000000000001,-1.7201217585969262
ONCCCONNCONCOO,212.206,-1.6930999999999978,6,9,116.27000000000001,0.16228451022123558
NCCOO,77.08299999999998,-0.5653000000000001,2,3,55.480000000000004,-1.4946733793674334
OOCNONONNNCNCN,213.198,-3.6319999999999997,8,11,146.12,-0.9625851316869576
COONCOCONOONCO,215.162,-2.1605999999999983,4,10,111.70000000000002,-1.718624513743102
CONNOC,92.098,-0.7966000000000002,2,4,42.519999999999996,-2.6054482234129313
OCCCCNNNNO,150.18200000000002,-1.748499999999999,6,6,88.58,-0.4743417816842155
CCCNCCOOCNNNNN,208.26600000000005,-2.131199999999998,6,8,104.63,-0.9751220016547628
NOOOONCNCOCCOO,215.16199999999995,-1.8130999999999986,4,10,125.69000000000003,-2.553991760865642
CNNNOCCCCNONC,193.25100000000003,-1.4175999999999982,5,7,78.61,-1.5517812758572969
NNNNCNCNONCN,180.216,-4.094499999999999,8,9,133.45000000000002,-2.886408488869531
NNCOCNCNNC,149.198,-2.347599999999998,5,6,83.37,-2.932365918290534
CCNCNONNC,134.183,-1.2863999999999993,4,5,57.35,-0.541989599413321
NNNOO,79.059,-1.6411000000000002,4,5,79.54,-1.438972874502336
CCCCNCNONN,148.20999999999998,-0.7668999999999984,4,5,71.34,-1.065563491852148
CNCOOC,91.11,-0.25870000000000015,1,3,30.49,-2.688755339919684
OOCNNCNOONOO,186.124,-2.152799999999999,6,10,125.50000000000001,-1.859393624087568
NCCONCNCNONCC,193.251,-1.9833999999999972,5,7,92.60000000000001,-0.24566412338622712
CCONN,76.099,-0.5988,2,3,47.28,-0.5873361127868446
CCNCOOOCOOCCC,195.21499999999995,0.7488999999999999,1,6,58.18000000000001,-2.7458944480698793
CCNNNON,106.129,-1.589599999999999,4,5,71.33999999999999,-1.2757967351413808
CCONNOOONC,153.13799999999998,-1.0386999999999993,3,7,73.01,-2.34589577731564
NCONCCC,104.153,-0.16620000000000013,2,3,47.28,-1.8529131466151534
COCNN,76.099,-0.9463999999999997,2,3,47.28,-1.975933178408488
CONCOCNNOOCC,181.19199999999998,-0.9536999999999991,3,7,73.01,-1.799074562650578
OOOCOCOCONOO,187.104,-0.7608999999999999,3,9,107.87000000000002,-2.4613890792733946
OCNCCCOOCONOOC,212.202,-1.1641999999999988,3,8,90.44000000000001,0.9486665848042146
OOCNCNONCOOCC,197.19099999999997,-1.0679999999999994,4,8,93.24000000000001,-1.8798171349285926
NNNCNCNOCNCON,195.22699999999998,-3.6249999999999982,7,9,130.65,-0.9199822877636861
NOCCC,75.111,0.28669999999999995,1,2,35.25,-2.9824070931808686
CCCNNOONCCCON,194.23499999999993,-0.8611999999999989,4,7,89.8,-2.1889521835171353
CCONNONOONNCO,199.167,-2.709499999999999,6,10,117.30000000000001,-2.105331695077815
CNCNO,76.09899999999999,-0.8579000000000001,3,3,44.29,-0.10333223935265523
COCCNNOONNN,167.169,-2.5268999999999986,5,8,101.83,-2.140904875834472
NNOCCCCOCNC,163.221,-0.645,3,5,68.54,-2.1301843825609788
NOCCCOCNNOOOOO,215.162,-1.4654999999999987,4,10,125.69000000000003,-1.8545667995139052
ONCOONNCNCOCO,198.17899999999997,-2.648899999999998,6,9,116.27000000000001,-2.3950040846141465
NOOOONNONNNON,203.115,-4.068600000000001,7,13,167.57000000000002,-2.922274966678854
OOOOCCNNCOCCC,196.20299999999997,-0.1825000000000001,3,7,81.21000000000001,-2.175175151073193
NCONOOCCC,136.151,-0.30300000000000016,2,5,65.74000000000001,-2.9661219951990274
ONCONNCNO,138.127,-2.1151999999999997,6,7,97.81,-2.1639805950531588
CCOONCCOO,137.13500000000002,-0.05130000000000018,2,5,59.95,-2.6701802452822703
CCNNCNCOC,133.195,-0.7484999999999997,3,4,45.31999999999999,-2.536705863140354
OONCNNONO,140.099,-2.1422999999999996,6,8,107.04,-1.450998580519093
OOCOONCONN,155.10999999999999,-1.7612999999999994,4,8,107.23,-3.191865782253572
NCNNCCCCCOOONC,208.262,-0.8186999999999998,4,7,89.80000000000001,-1.4756776191965764
NNNOOO,95.05799999999999,-1.7095000000000002,4,6,88.77000000000001,-0.15451056086159554
ONNNCN,92.10200000000002,-2.1094,5,5,82.34,-2.5013478995545784
CNNNNCNONOC,166.185,-2.735699999999998,6,8,90.64,-2.6863889842537314
CCCOOONNCOCNCC,209.24599999999995,-0.17349999999999932,3,7,73.01,-1.7232635669204783
NOOOONN,111.057,-1.9502000000000006,3,7,100.99000000000001,-2.84890099219595
CONOOONNNO,156.098,-2.1647999999999996,5,9,105.27000000000001,-1.137013855434858
CCCCNONONONOON,213.194,-1.5783999999999985,5,10,120.29,-1.091569997556274
OONNO,80.04299999999999,-1.1256,4,5,73.75,-3.144214326728078
NNCONCNCCONN,180.212,-3.129599999999998,6,8,118.62,-1.9544052745231388
NOCNN,77.087,-1.7024999999999997,3,4,73.3,-1.338809473826342
NCNOC,76.099,-0.9463999999999999,2,3,47.28,-2.7374704623079813
OONNNOOCCOOON,202.12299999999996,-2.3934999999999995,5,11,137.72000000000003,-1.747238499274771
NNNCN,76.10300000000001,-2.1295,4,4,76.1,-2.0030019389786657
CNOCOOOCCOCNCN,211.21799999999996,-1.5453999999999974,3,8,96.23,-4.875584265711723
COOCNN,92.098,-1.0148,2,4,56.510000000000005,-2.5688682086330354
COCON,77.08300000000001,-0.5193999999999999,1,3,44.480000000000004,-0.7281280776338226
OONOOOCC,125.07999999999998,-0.2047000000000001,2,6,69.18,-1.2683440396650725
COOCOOCOCNNNOO,215.16200000000003,-1.5948999999999982,4,10,111.70000000000002,-0.6611614931545775
CCCCNNONOCOCOC,209.24599999999995,-0.17349999999999932,3,7,73.01,-1.0612493572213926
OONCCCCOCOOO,183.16,0.15609999999999985,3,7,89.41000000000001,-3.1735885739487655
OOOCNCNCNNO,168.15300000000002,-2.057299999999999,6,8,107.04,-2.9790190420779936
OOOON,81.02700000000002,-0.7871000000000001,2,5,73.94,-2.4794665808291523
COOCCCNCCC,147.218,0.9541,1,3,30.490000000000002,-1.9160526358652363
CNCOO,77.083,-0.3471,2,3,41.489999999999995,-1.9402400696476287
